STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_HORIZ,Time horizon,METHODOLOGY,Calculation methodology,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-09,,0.306075,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-10,,-0.1173619,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-11,,-0.08616657,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2018-12,,0.06272063,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-01,,-0.5562965,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-02,,0.2048537,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-03,,0.3616928,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-04,,-0.09401466,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-05,,0.2195738,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-06,,-0.1408453,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-07,,0.01567163,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-08,,-0.6737712,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-09,,0.2681816,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-10,,0.1809316,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-11,,0.1020811,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_CSBAR(4.0),Consumer barometer,I,USA,United States,M,Monthly,CCICP,Composite consumer confidence,GR,Growth rate,_Z,Not applicable,NOR,Normalized,G1,"Growth rate, period on period",_Z,Not applicable,H,OECD harmonised,2019-12,,0.1961095,,A,Normal value,0,Units,2,Two,,
